gene	KO	Rescue	WT
gene_844	861	1789	3504
gene_847	260	545	1170
gene_848	690	1103	2281
gene_849	260	413	1081
gene_850	549	1232	2715
gene_851	170	432	810
gene_852	485	899	2062
gene_853	534	842	2143
gene_854	337	729	1429
gene_855	12	29	58
gene_856	120	289	489
gene_857	1153	2209	4210
gene_858	141	372	742
gene_859	364	792	1427
gene_860	7	67	104
gene_861	0	10	32
gene_864	0	0	2
gene_865	0	0	2
gene_868	453	941	1957
gene_869	429	768	1639
gene_870	25	44	109
gene_871	625	1184	2135
gene_872	248	409	848
gene_873	4	15	13
gene_874	152	394	796
gene_875	1018	2419	4700
gene_876	1251	2113	4438
gene_877	1776	3604	6647
gene_879	1	2	12
gene_880	8	6	21
gene_881	2835	4897	11325
gene_882	260	412	1005
gene_883	9	1	20
gene_887	524	1082	2194
gene_888	125	234	495
gene_889	10	16	28
gene_890	0	0	0
gene_891	1	1	17
gene_892	4	11	13
gene_893	0	3	9
gene_894	279	638	1265
gene_895	409	689	1581
gene_896	23	46	114
gene_897	89	143	350
gene_898	3370	6873	14323
gene_899	1807	3726	7201
gene_900	375	1051	1909
gene_902	37	74	176
gene_903	1281	2730	4524
gene_904	9	16	62
gene_905	279	557	1228
gene_907	40	60	125
gene_908	27	40	69
gene_909	0	0	0
gene_910	12	29	68
gene_911	2	0	3
gene_912	92	157	390
gene_913	24	45	87
gene_914	3	13	62
gene_915	31	46	105
gene_917	6	21	37
gene_919	0	0	0
gene_920	73	97	188
gene_921	566	1068	2137
gene_922	33	57	102
gene_923	117	217	557
gene_926	789	1421	2929
gene_927	36	53	131
gene_928	4	6	11
gene_929	457	963	2042
gene_930	0	0	1
gene_932	23	60	108
gene_934	7	92	185
gene_935	25	125	226
gene_937	0	0	0
gene_939	44	60	62
gene_940	21	25	68
gene_941	919	2196	4424
gene_942	0	2	5
gene_943	154	657	1321
gene_944	84	20	27
gene_945	699	1859	3592
gene_946	14	38	91
gene_947	2579	585	1170
gene_948	109	152	315
gene_949	0	1	1
gene_950	465160	19541	48702
gene_951	0	1	1
gene_952	258	448	874
gene_953	134	250	576
gene_954	76	141	341
gene_955	8	23	35
gene_956	22	33	65
gene_957	178	296	560
gene_958	269	575	964
gene_959	37	79	177
gene_960	55	118	287
gene_961	11154	38242	103677
gene_962	30	124	251
gene_963	16	74	165
gene_964	5	5	20
gene_965	934	1562	3279
gene_966	3	12	18
gene_967	487	846	2115
gene_968	255	617	1475
gene_969	0	0	1
gene_970	15	26	50
gene_971	0	0	0
gene_972	6	17	41
gene_973	1270	1882	3882
gene_974	1540	3458	7903
gene_975	499	1029	2169
gene_976	53	131	248
gene_977	667	1356	2802
gene_978	24	30	93
gene_979	234	477	1114
gene_980	0	1	3
gene_981	809455	18773	46880
gene_982	808	1625	3434
gene_983	438	898	1831
gene_984	112	255	425
gene_985	61	116	274
gene_987	0	0	1
gene_988	5	4	11
gene_989	3	7	10
gene_990	278	554	1103
gene_991	115	131	457
gene_992	774	1133	2772
gene_993	1275	2159	4349
gene_994	1286	1923	4639
gene_995	31	117	228
gene_996	15	47	129
gene_997	0	0	0
gene_998	0	0	0
gene_1000	299	490	994
gene_1001	816	1522	3237
gene_1002	0	2	0
gene_1003	1197	1608	4157
gene_1004	379	551	1197
gene_1005	1	3	3
gene_1006	695	1128	2177
gene_1007	72	114	247
gene_1008	17184	29700	70304
gene_1009	27	35	103
gene_1010	188	438	888
gene_1011	11	24	42
gene_1012	42	65	193
gene_1013	2	5	1
gene_1014	214	417	842
gene_1015	742	1313	2834
gene_1016	509	770	1793
gene_1017	66	239	423
gene_1018	8	5	41
gene_1019	545	720	2009
gene_1020	193	375	826
gene_1021	177	369	779
gene_1022	211	366	860
gene_1023	73	148	300
gene_1024	14	56	91
gene_1025	1357	2548	4983
gene_1026	5010	9433	18175
gene_1027	1181	1900	4448
gene_1028	930	1979	3902
gene_1029	5	16	16
gene_1030	1702	3827	7272
gene_1031	283	774	1390
gene_1032	154	358	694
gene_1033	16	27	85
gene_1034	8496	2466	5230
gene_1035	300	485	1118
gene_1036	116	126	274
gene_1037	0	0	0
gene_1038	1	0	1
gene_1039	5884	13147	25237
gene_1041	687	1352	2743
gene_1042	0	0	6
gene_1043	184	298	627
gene_1044	610	1439	2957
gene_1045	1633	2599	6292
gene_1046	224	477	912
gene_1047	220	568	1054
gene_1048	2	3	5
gene_1049	54	215	524
gene_1051	15	23	74
gene_1053	1094	572	1208
gene_1054	101	282	609
gene_1055	414	977	1828
gene_1056	0	0	2
gene_1057	20	58	95
gene_1058	1634	4027	7651
gene_1059	0	5	3
gene_1060	0	1	1
gene_1061	0	4	11
gene_1063	1	7	4
gene_1064	0	0	1
gene_1065	3	1	17
gene_1066	6136	2799	5863
gene_1069	424	981	1675
gene_1070	3302	8222	15633
gene_1071	3	18	20
gene_1072	0	0	3
gene_1073	70	145	339
gene_1074	51	148	273
gene_1075	0	5	7
gene_1076	8	48	39
gene_1077	0	1	4
gene_1078	0	0	0
gene_1079	0	0	0
gene_1082	0	0	0
gene_1083	128	412	978
gene_1084	17	42	125
gene_1085	0	0	0
gene_1086	40	135	201
gene_1087	0	0	3
gene_1089	0	0	0
gene_1095	1	1	15
gene_1100	0	1	0
gene_1102	839	1583	3371
gene_1103	0	0	0
gene_1104	107	197	510
gene_1107	795	1975	4098
gene_1108	0	1	1
gene_1109	561	1320	2671
gene_1110	9	38	41
gene_1111	738	1946	3177
gene_1112	0	0	0
gene_1113	41	6	35
gene_1114	862	2168	4153
gene_1115	1448	2990	5913
gene_1116	67	169	298
gene_1117	0	0	0
gene_1118	24	62	115
gene_1119	1102	2145	4125
gene_1120	961	1940	3559
gene_1121	158	253	556
gene_1122	44	62	147
gene_1124	476	1215	2261
gene_1125	333	741	1393
gene_1126	423	759	1831
gene_1127	19	27	65
gene_1128	0	1	0
gene_1129	223	367	854
gene_1130	811	1621	3052
gene_1131	180	428	941
gene_1135	577	1113	2457
gene_1136	235	563	1021
gene_1137	0	0	0
gene_1139	299	523	1228
gene_1140	1790	4100	8210
gene_1141	0	2	0
gene_1142	0	1	0
gene_1143	31	84	228
gene_1144	4	6	3
gene_1145	546	1135	2241
gene_1146	196	420	742
gene_1147	372	673	1254
gene_1148	0	0	0
gene_1149	420	676	1485
gene_1150	105	299	433
gene_1151	844	1827	3253
gene_1152	0	1	0
gene_1153	13	31	62
gene_1155	3	7	9
gene_1159	0	0	5
gene_1160	1	1	3
gene_1161	831517	1899	3595
gene_1162	154	352	667
gene_1163	0	1	9
gene_1164	151	316	506
gene_1165	504	961	2059
gene_1166	1	0	11
gene_1167	3044	6302	13959
gene_1168	1	5	1
gene_1169	162	268	628
gene_1170	24	42	98
gene_1173	126	234	465
gene_1174	1760	3023	6564
gene_1175	901	1716	4016
gene_1176	4	8	22
gene_1181	314	525	1137
gene_1182	81	162	332
gene_1183	0	0	2
gene_1184	6	11	30
gene_1185	4100	438	954
gene_1186	267	456	1009
gene_1187	119	267	463
gene_1188	718	1199	2885
gene_1189	0	0	3
gene_1190	3	8	1
gene_1191	13014	19422	40807
gene_1192	350	469	1001
gene_1193	910	1033	2709
gene_1194	7	15	44
gene_1196	84	67	227
gene_1197	36	25	71
gene_1198	21	1	3
gene_1199	171	619	535
gene_1200	1231	2517	4567
gene_1206	0	1	1
gene_1207	19	46	112
gene_1208	0	0	1
gene_1209	92	273	558
gene_1210	0	0	1
gene_1211	0	0	0
gene_1216	22	52	95
gene_1220	139	334	591
gene_1221	0	10	11
gene_1222	1051	990	2352
gene_1223	200	751	1069
gene_1224	0	0	1
gene_1225	2286	4082	10206
gene_1226	49	110	221
gene_1227	0	0	3
gene_1229	1	12	34
gene_1230	0	0	0
gene_1233	0	4	7
gene_1235	66	135	295
gene_1236	0	0	0
gene_1237	676	1662	3259
gene_1238	41	110	191
gene_1243	409	1054	1697
gene_1248	125	413	633
gene_1249	0	0	0
gene_1250	914	2305	4104
gene_1252	0	0	0
gene_1253	1068	2353	4228
gene_1254	464	1112	1780
gene_1255	1	0	1
gene_1256	0	0	0
gene_1257	0	3	0
gene_1258	59	103	229
gene_1265	0	0	3
gene_1267	0	0	2
gene_1269	132	326	593
gene_1270	305	664	1179
gene_1272	51	147	240
gene_1273	1	1	5
gene_1274	1041	2458	5335
gene_1275	124	356	824
gene_1279	0	0	3
gene_1280	563	1321	2408
gene_1281	1560	3450	6932
gene_1282	3	12	0
gene_1284	1350	3809	8132
gene_1285	5	26	70
gene_1287	850	2001	3975
gene_1288	75	135	373
gene_1289	1	0	0
gene_1291	0	0	5
gene_1297	23	33	31
gene_1298	0	0	1
gene_1299	603	1221	2188
gene_1300	398	839	1551
gene_1302	0	0	0
gene_1303	3	7	3
gene_1304	2	1	7
gene_1305	6048	11259	25525
gene_1307	321	704	1778
gene_1308	2584	6469	11691
gene_1309	7	30	41
gene_1310	0	0	3
gene_1311	1603	3900	7864
gene_1313	349	745	1109
gene_1314	24	57	64
gene_1315	1	0	0
gene_1317	0	8	7
gene_1322	0	0	0
gene_1323	1	1	0
gene_1326	211	531	914
gene_1327	207993	2491	4073
gene_1329	355	750	1336
gene_1330	38	77	200
gene_1331	0	0	3
gene_1332	56	207	314
gene_1333	0	4	1
gene_1336	0	0	0
gene_1339	97	118	189
gene_1340	604	1533	2677
gene_1341	4	7	22
gene_1342	0	1	0
gene_1348	0	0	0
gene_1353	7	20	20
gene_1354	172	423	752
gene_1355	39	85	153
gene_1356	1	1	4
gene_1357	0	0	0
gene_1358	0	0	3
gene_1359	1470	12	34
gene_1360	1	0	3
gene_1361	3	3	0
gene_1362	0	3	0
gene_1363	1031	2530	4650
gene_1364	292	672	1269
gene_1370	192	526	791
gene_1371	340	849	1628
gene_1372	437	1056	2142
gene_1373	0	0	0
gene_1377	0	0	3
gene_1380	0	1	1
gene_1383	310	798	1456
gene_1385	0	0	0
gene_1388	733	1880	3272
gene_1389	570	1272	2217
gene_1390	461	1323	2448
gene_1391	0	0	1
gene_1392	0	0	3
gene_1393	1537	3442	6327
gene_1394	132	309	565
gene_1395	571	1254	2542
gene_1396	0	0	1
gene_1397	2	0	1
gene_1398	0	2	0
gene_1400	30	123	43
gene_1401	120	370	378
gene_1402	0	2	2
gene_1409	0	0	0
gene_1412	3	12	5
gene_1418	1	7	1
gene_1423	15	41	91
gene_1427	348	915	2093
gene_1428	68	141	271
gene_1430	0	0	0
gene_1431	465	925	1922
gene_1432	983	2076	4385
gene_1433	655	1527	2960
gene_1434	108	319	478
gene_1435	282	831	1322
gene_1436	27	50	106
gene_1439	436	835	1507
gene_1442	1	4	20
gene_1443	0	1	0
gene_1444	19	7	26
gene_1445	388	14	30
gene_1446	2873	131	233
gene_1447	123	248	463
gene_1448	291	872	1527
gene_1449	22	50	140
gene_1450	2689	5730	11824
gene_1451	0	2	0
gene_1452	1	1	10
gene_1454	94	294	932
gene_1455	0	0	2
gene_1456	225	489	876
gene_1457	0	0	1
gene_1458	0	0	1
gene_1459	171	403	708
gene_1460	0	0	0
gene_1461	11	17	39
gene_1462	2	5	24
gene_1463	0	3	10
gene_1464	11	12	31
gene_1465	1306	3579	7093
gene_1467	2573	5205	10244
gene_1468	1255	2968	5919
gene_1470	247	585	1054
gene_1471	3	2	3
gene_1473	1020	2704	5172
gene_1474	0	0	0
gene_1475	0	0	3
gene_1476	0	0	0
gene_1478	907	2437	3946
gene_1479	234	592	1049
gene_1480	358	927	1597
gene_1481	351	728	1373
gene_1482	219	841	1335
gene_1483	54	91	162
gene_1484	260	983	2497
gene_1486	0	0	0
